Text,Label
hello,Greeting
hello bot,Greeting
good day,Greeting
good afternoon,Greeting
greetings,Greeting
hi,Greeting
hey,Greeting
hey there,Greeting
good morning,Greeting
hi bot,Greeting
howdy,Greeting
yo,Greeting
sup,Greeting
hi there,Greeting
good evening,Greeting
morning,Greeting
hey friend,Greeting
what's up,Greeting
nice to meet you,Greeting
pleased to meet you,Greeting
what time is it,Time
tell me the time,Time
what is the time,Time
what time is it right now,Time
what is the current time,Time
what time is it now,Time
what is the time now,Time
can you tell me the time,Time
do you know the time,Time
please tell me the current time,Time
what hour is it,Time
got the time,Time
what's the time,Time
could you give me the time,Time
time please,Time
what timezone are we in,Time
do you have the time,Time
check the time,Time
what is today's date,Time
what day is it,Time
what is your name,About
what are you,About
who are you,About
what do you do,About
tell me about yourself,About
who built you,About
what is your purpose,About
introduce yourself,About
are you a bot,About
what kind of ai are you,About
who created you,About
what can you do,About
are you human,About
how do you work,About
what is your job,About
can you help me,About
who made you,About
tell me your name,About
goodbye,Goodbye
see you later,Goodbye
until next time,Goodbye
take care,Goodbye
goodbye bot,Goodbye
bye,Goodbye
bye bye,Goodbye
see ya,Goodbye
have a good day,Goodbye
i have to go,Goodbye
catch you later,Goodbye
farewell,Goodbye
talk to you later,Goodbye
i'm leaving,Goodbye
have a nice evening,Goodbye
good night,Goodbye
gotta run,Goodbye
see you tomorrow,Goodbye
